Country,Code,Pop,Confirmed,Recovered,Deaths
Afghanistan,AFG,38928341,36036,24793,1248
North Macedonia,MKD,2083380,9934,5357,460
France,FRA,65273512,206334,71566,30081
Norway,NOR,5421242,9111,8674,255
Oman,OMN,5106622,74858,54061,371
Pakistan,PAK,220892331,273113,237434,5822
Panama,PAN,4314768,58864,33428,1275
Gabon,GAB,2225728,6984,4463,49
Gambia,GMB,2416664,277,60,6
Georgia,GEO,3989175,1117,917,16
Germany,DEU,83783945,206278,189919,9124
Albania,ALB,2877800,4637,2637,134
Algeria,DZA,43851043,26764,18076,1146
Andorra,AND,77265,897,803,52
Angola,AGO,32866268,916,242,39
Ghana,GHA,31072945,31851,28438,161
Greece,GRC,10423056,4166,1374,201
Guatemala,GTM,17915567,44492,31045,1699
Guinea,GIN,13132792,6927,6098,42
Guyana,GUY,786559,360,180,20
Haiti,HTI,11402533,7297,4365,157
Holy See,VAT,809,12,12,0
Antigua and Barbuda,ATG,97928,82,60,3
Argentina,ARG,45195777,158334,68022,2893
Armenia,ARM,2963234,36996,26243,700
Australia,AUS,25459700,14403,9019,155
Austria,AUT,9006400,20338,18124,712
Azerbaijan,AZE,10139175,29633,22082,408
Bahamas,BHS,393248,326,91,11
Papua New Guinea,PNG,8947027,39,11,0
Paraguay,PRY,7132530,4328,2679,40
Peru,PER,32971846,375961,259423,17843
Philippines,PHL,109581085,78412,25752,1897
Poland,POL,37846605,42622,32419,1664
Portugal,PRT,10196707,49955,35010,1716
Qatar,QAT,2881060,109036,105750,164
Honduras,HND,9904608,38438,4713,1098
Hungary,HUN,9660350,4424,3324,596
Iceland,ISL,341250,1843,1823,10
India,IND,1380004385,1385635,885573,32060
Indonesia,IDN,273523621,97286,55354,4714
Iran,IRN,83992953,288839,251319,15484
Iraq,IRQ,40222503,107573,73317,4284
Ireland,IRL,4937796,25869,23364,1764
Israel,ISR,8655541,60678,26917,457
Italy,ITA,60461828,245864,198320,35102
Jamaica,JAM,2961161,837,711,10
Japan,JPN,126476458,29684,21464,996
Jordan,JOR,10203140,1154,1036,11
Kazakhstan,KAZ,18776707,81720,51823,585
Kenya,KEN,53771300,16643,7574,278
Bahrain,BHR,1701583,38747,35205,137
Bangladesh,BGD,164689383,221178,122090,2874
Barbados,BRB,287371,108,94,7
Belarus,BLR,9449321,67002,60092,530
Belgium,BEL,11589616,65727,17425,9821
Benin,BEN,12123198,1694,918,34
Bhutan,BTN,771612,92,85,0
Bolivia,BOL,11673029,68281,20951,2535
Bosnia and Herzegovina,BIH,3280815,9767,4555,280
Brazil,BRA,212559409,2394513,1785359,86449
Brunei,BRN,437483,141,138,3
Bulgaria,BGR,6948445,10312,5306,338
Burkina Faso,BFA,20903278,1086,920,53
Cabo Verde,CPV,555988,2258,1363,22
