Country,Date,Population,Cumm_Confirmed,Daily_New_Confirmed,Cumm_Deaths,Daily_New_Deaths,Cumm_Recovered,Daily_New_Recovered
Brazil,1/22/20,212559409,0,0,0,0,0,0
Brazil,1/23/20,212559409,0,0,0,0,0,0
Brazil,1/24/20,212559409,0,0,0,0,0,0
Brazil,1/25/20,212559409,0,0,0,0,0,0
Brazil,1/26/20,212559409,0,0,0,0,0,0
Brazil,1/27/20,212559409,0,0,0,0,0,0
Brazil,1/28/20,212559409,0,0,0,0,0,0
Brazil,1/29/20,212559409,0,0,0,0,0,0
Brazil,1/30/20,212559409,0,0,0,0,0,0
Brazil,1/31/20,212559409,0,0,0,0,0,0
Brazil,2/1/20,212559409,0,0,0,0,0,0
Brazil,2/2/20,212559409,0,0,0,0,0,0
Brazil,2/3/20,212559409,0,0,0,0,0,0
Brazil,2/4/20,212559409,0,0,0,0,0,0
Brazil,2/5/20,212559409,0,0,0,0,0,0
Brazil,2/6/20,212559409,0,0,0,0,0,0
Brazil,2/7/20,212559409,0,0,0,0,0,0
Brazil,2/8/20,212559409,0,0,0,0,0,0
Brazil,2/9/20,212559409,0,0,0,0,0,0
Brazil,2/10/20,212559409,0,0,0,0,0,0
Brazil,2/11/20,212559409,0,0,0,0,0,0
Brazil,2/12/20,212559409,0,0,0,0,0,0
Brazil,2/13/20,212559409,0,0,0,0,0,0
Brazil,2/14/20,212559409,0,0,0,0,0,0
Brazil,2/15/20,212559409,0,0,0,0,0,0
Brazil,2/16/20,212559409,0,0,0,0,0,0
Brazil,2/17/20,212559409,0,0,0,0,0,0
Brazil,2/18/20,212559409,0,0,0,0,0,0
Brazil,2/19/20,212559409,0,0,0,0,0,0
Brazil,2/20/20,212559409,0,0,0,0,0,0
Brazil,2/21/20,212559409,0,0,0,0,0,0
Brazil,2/22/20,212559409,0,0,0,0,0,0
Brazil,2/23/20,212559409,0,0,0,0,0,0
Brazil,2/24/20,212559409,0,0,0,0,0,0
Brazil,2/25/20,212559409,0,0,0,0,0,0
Brazil,2/26/20,212559409,1,1,0,0,0,0
Brazil,2/27/20,212559409,1,0,0,0,0,0
Brazil,2/28/20,212559409,1,0,0,0,0,0
Brazil,2/29/20,212559409,2,1,0,0,0,0
Brazil,3/1/20,212559409,2,0,0,0,0,0
Brazil,3/2/20,212559409,2,0,0,0,0,0
Brazil,3/3/20,212559409,2,0,0,0,0,0
Brazil,3/4/20,212559409,4,2,0,0,0,0
Brazil,3/5/20,212559409,4,0,0,0,0,0
Brazil,3/6/20,212559409,13,9,0,0,0,0
Brazil,3/7/20,212559409,13,0,0,0,0,0
Brazil,3/8/20,212559409,20,7,0,0,0,0
Brazil,3/9/20,212559409,25,5,0,0,0,0
Brazil,3/10/20,212559409,31,6,0,0,0,0
Brazil,3/11/20,212559409,38,7,0,0,0,0
Brazil,3/12/20,212559409,52,14,0,0,0,0
Brazil,3/13/20,212559409,151,99,0,0,0,0
Brazil,3/14/20,212559409,151,0,0,0,0,0
Brazil,3/15/20,212559409,162,11,0,0,0,0
Brazil,3/16/20,212559409,200,38,0,0,1,1
Brazil,3/17/20,212559409,321,121,1,1,2,1
Brazil,3/18/20,212559409,372,51,3,2,2,0
Brazil,3/19/20,212559409,621,249,6,3,2,0
Brazil,3/20/20,212559409,793,172,11,5,2,0
Brazil,3/21/20,212559409,1021,228,15,4,2,0
Brazil,3/22/20,212559409,1546,525,25,10,2,0
Brazil,3/23/20,212559409,1924,378,34,9,2,0
Brazil,3/24/20,212559409,2247,323,46,12,2,0
Brazil,3/25/20,212559409,2554,307,59,13,2,0
Brazil,3/26/20,212559409,2985,431,77,18,6,4
Brazil,3/27/20,212559409,3417,432,92,15,6,0
Brazil,3/28/20,212559409,3904,487,111,19,6,0
Brazil,3/29/20,212559409,4256,352,136,25,6,0
Brazil,3/30/20,212559409,4579,323,159,23,120,114
Brazil,3/31/20,212559409,5717,1138,201,42,127,7
Brazil,4/1/20,212559409,6836,1119,240,39,127,0
Brazil,4/2/20,212559409,8044,1208,324,84,127,0
Brazil,4/3/20,212559409,9056,1012,359,35,127,0
Brazil,4/4/20,212559409,10360,1304,445,86,127,0
Brazil,4/5/20,212559409,11130,770,486,41,127,0
Brazil,4/6/20,212559409,12161,1031,564,78,127,0
Brazil,4/7/20,212559409,14034,1873,686,122,127,0
Brazil,4/8/20,212559409,16170,2136,819,133,127,0
Brazil,4/9/20,212559409,18092,1922,950,131,173,46
Brazil,4/10/20,212559409,19638,1546,1057,107,173,0
Brazil,4/11/20,212559409,20727,1089,1124,67,173,0
Brazil,4/12/20,212559409,22192,1465,1223,99,173,0
Brazil,4/13/20,212559409,23430,1238,1328,105,173,0
Brazil,4/14/20,212559409,25262,1832,1532,204,3046,2873
Brazil,4/15/20,212559409,28320,3058,1736,204,14026,10980
Brazil,4/16/20,212559409,30425,2105,1924,188,14026,0
Brazil,4/17/20,212559409,33682,3257,2141,217,14026,0
Brazil,4/18/20,212559409,36658,2976,2354,213,14026,0
Brazil,4/19/20,212559409,38654,1996,2462,108,22130,8104
Brazil,4/20/20,212559409,40743,2089,2587,125,22130,0
Brazil,4/21/20,212559409,43079,2336,2741,154,22991,861
Brazil,4/22/20,212559409,45757,2678,2906,165,25318,2327
Brazil,4/23/20,212559409,50036,4279,3331,425,26573,1255
Brazil,4/24/20,212559409,54043,4007,3704,373,27655,1082
Brazil,4/25/20,212559409,59324,5281,4057,353,29160,1505
Brazil,4/26/20,212559409,63100,3776,4286,229,30152,992
Brazil,4/27/20,212559409,67446,4346,4603,317,31142,990
Brazil,4/28/20,212559409,73235,5789,5083,480,32544,1402
Brazil,4/29/20,212559409,79685,6450,5513,430,34132,1588
Brazil,4/30/20,212559409,87187,7502,6006,493,35935,1803
Brazil,5/1/20,212559409,92202,5015,6412,406,38039,2104
Brazil,5/2/20,212559409,97100,4898,6761,349,40937,2898
Brazil,5/3/20,212559409,101826,4726,7051,290,42991,2054
Brazil,5/4/20,212559409,108620,6794,7367,316,45815,2824
Brazil,5/5/20,212559409,115455,6835,7938,571,48221,2406
Brazil,5/6/20,212559409,126611,11156,8588,650,51370,3149
Brazil,5/7/20,212559409,135773,9162,9190,602,55350,3980
Brazil,5/8/20,212559409,146894,11121,10017,827,59297,3947
Brazil,5/9/20,212559409,156061,9167,10656,639,61685,2388
Brazil,5/10/20,212559409,162699,6638,11123,467,64957,3272
Brazil,5/11/20,212559409,169594,6895,11653,530,67384,2427
Brazil,5/12/20,212559409,178214,8620,12461,808,72597,5213
Brazil,5/13/20,212559409,190137,11923,13240,779,78424,5827
Brazil,5/14/20,212559409,203165,13028,13999,759,79479,1055
Brazil,5/15/20,212559409,220291,17126,14962,963,84970,5491
