Date,Population,Cumm_Confirmed,Daily_New_Confirmed,Moving_Avg
1/22/20,7710663140,555,150,150
1/23/20,7710663140,654,99,99
1/24/20,7710663140,941,287,287
1/25/20,7710663140,1434,493,493
1/26/20,7710663140,2118,684,684
1/27/20,7710663140,2927,809,797
1/28/20,7710663140,5578,2651,802
1/29/20,7710663140,6166,588,1083
1/30/20,7710663140,8234,2068,1284
1/31/20,7710663140,9927,1693,1515
2/1/20,7710663140,12038,2111,2096
2/2/20,7710663140,16787,4749,2423
2/3/20,7710663140,19887,3100,2617
2/4/20,7710663140,23898,4011,3068
2/5/20,7710663140,27643,3745,3224
2/6/20,7710663140,30802,3159,3487
2/7/20,7710663140,34334,3532,3576
2/8/20,7710663140,37068,2734,3330
2/9/20,7710663140,40095,3027,3249
2/10/20,7710663140,42633,2538,2968
2/11/20,7710663140,44675,2042,2487
2/12/20,7710663140,45053,378,4201
2/13/20,7710663140,60206,15153,4622
2/14/20,7710663140,66690,6484,4528
2/15/20,7710663140,68765,2075,4398
2/16/20,7710663140,70879,2114,4312
2/17/20,7710663140,72815,1936,4276
2/18/20,7710663140,74609,1794,4282
2/19/20,7710663140,75030,421,2196
2/20/20,7710663140,75577,547,1359
2/21/20,7710663140,76206,629,1315
2/22/20,7710663140,77967,1761,1058
2/23/20,7710663140,78288,321,862
2/24/20,7710663140,78852,564,728
2/25/20,7710663140,79705,853,805
2/26/20,7710663140,80668,963,922
2/27/20,7710663140,82032,1364,1029
2/28/20,7710663140,83409,1377,1048
2/29/20,7710663140,85304,1895,1342
3/1/20,7710663140,87681,2377,1543
3/2/20,7710663140,89655,1974,1790
3/3/20,7710663140,92232,2577,1980
3/4/20,7710663140,94526,2294,2184
3/5/20,7710663140,97317,2791,2550
3/6/20,7710663140,101260,3943,2855
3/7/20,7710663140,105291,4031,3080
3/8/20,7710663140,109241,3950,3355
3/9/20,7710663140,113141,3900,3705
3/10/20,7710663140,118164,5023,4471
3/11/20,7710663140,125824,7660,4894
3/12/20,7710663140,131574,5750,6387
3/13/20,7710663140,145967,14393,7393
3/14/20,7710663140,157044,11077,8420
3/15/20,7710663140,168181,11137,9953
